VentaID;Factura;Fecha_Orden;Fecha_Entrega;Fecha_Envio;Estado;Cliente_Code;Tipo_Cliente;Nombres;Apellidos;Vendedor;Departamento;Metodo_Pago;Subtotal;updated_at
49443;SO49443;28/01/2024;09/02/2024;10/02/2024;5;29833 - 40109117;SC;Pam;Herrick;Tsvi Reiter;Cusco;Debito/Credito;67.539;13/01/2025
50691;SO50691;30/04/2024;06/05/2024;06/05/2024;5;29833 - 40109117;SC;Pam;Herrick;Tsvi Reiter;Cusco;Debito/Credito;183.9382;13/01/2025
49444;SO49444;28/01/2024;09/02/2024;09/02/2024;5;30106 - 80063228;SC;Michael;Vanderhyde;Michael Blythe;Piura;Debito/Credito;6509.2516;13/01/2025
50736;SO50736;30/04/2024;09/05/2024;09/05/2024;5;30106 - 80063228;SC;Michael;Vanderhyde;Michael Blythe;Piura;Debito/Credito;5835.6552;13/01/2025
49445;SO49445;28/01/2024;09/02/2024;09/02/2024;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;2818.764;13/01/2025
50658;SO50658;30/04/2024;13/05/2024;12/05/2024;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;6107.322;13/01/2025
53598;SO53598;31/07/2024;12/08/2024;12/08/2024;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;3794.9789;13/01/2025
59049;SO59049;30/10/2024;12/11/2024;12/11/2024;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;2227.386;13/01/2025
65293;SO65293;29/01/2025;10/02/2025;10/02/2025;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;3128.7791;13/01/2025
49446;SO49446;28/01/2024;09/02/2024;09/02/2024;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;13624.026;13/01/2025
50706;SO50706;30/04/2024;12/05/2024;12/05/2024;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;9913.52;13/01/2025
53534;SO53534;31/07/2024;13/08/2024;12/08/2024;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;12423.5249;13/01/2025
58976;SO58976;30/10/2024;06/11/2024;06/11/2024;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;10376.3682;13/01/2025
65152;SO65152;29/01/2025;11/02/2025;10/02/2025;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;11710.422;13/01/2025
49447;SO49447;28/01/2024;09/02/2024;09/02/2024;5;29536 - 11209608;SC;Robert;Barker;Jillian Carson;La Libertad;Debito/Credito;107.988;13/01/2025
50711;SO50711;30/04/2024;13/05/2024;12/05/2024;5;29536 - 11209608;SC;Robert;Barker;Jillian Carson;La Libertad;Debito/Credito;482.6262;13/01/2025
49448;SO49448;28/01/2024;04/02/2024;04/02/2024;5;30003 - 49120086;SC;Yvonne;Mckay;Michael Blythe;La Libertad;Debito/Credito;1275.0469;13/01/2025
50659;SO50659;30/04/2024;12/05/2024;12/05/2024;5;30003 - 49120086;SC;Yvonne;Mckay;Michael Blythe;La Libertad;Debito/Credito;1297.8409;13/01/2025
49449;SO49449;28/01/2024;06/02/2024;06/02/2024;5;29622 - 8337348;SC;Henry;Campen;David Campbell;Lima;Debito/Credito;45.588;13/01/2025
53457;SO53457;31/07/2024;09/08/2024;09/08/2024;5;29622 - 8337348;SC;Henry;Campen;David Campbell;Lima;Debito/Credito;47000.9618;13/01/2025
58910;SO58910;30/10/2024;11/11/2024;11/11/2024;5;29622 - 8337348;SC;Henry;Campen;David Campbell;Lima;Debito/Credito;36336.306;13/01/2025
65159;SO65159;29/01/2025;10/02/2025;10/02/2025;5;29622 - 8337348;SC;Henry;Campen;David Campbell;Lima;Debito/Credito;13573.704;13/01/2025
49450;SO49450;28/01/2024;10/02/2024;09/02/2024;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;32730.2215;13/01/2025
50662;SO50662;30/04/2024;06/05/2024;06/05/2024;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;33974.7691;13/01/2025
53455;SO53455;31/07/2024;12/08/2024;12/08/2024;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;31612.0704;13/01/2025
58905;SO58905;30/10/2024;11/11/2024;12/11/2024;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;43152.291;13/01/2025
65154;SO65154;29/01/2025;10/02/2025;10/02/2025;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;26709.588;13/01/2025
49451;SO49451;28/01/2024;09/02/2024;09/02/2024;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;2595.6818;13/01/2025
50708;SO50708;30/04/2024;12/05/2024;12/05/2024;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;5311.5351;13/01/2025
53542;SO53542;31/07/2024;08/08/2024;08/08/2024;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;5942.0055;13/01/2025
58978;SO58978;30/10/2024;12/11/2024;11/11/2024;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;7449.3398;13/01/2025
65162;SO65162;29/01/2025;10/02/2025;10/02/2025;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;4634.91;13/01/2025
49452;SO49452;28/01/2024;09/02/2024;09/02/2024;5;29927 - 18229695;SC;Jeffrey;Kung;Amy Alberts;Áncash;Debito/Credito;1308.9375;13/01/2025
50665;SO50665;30/04/2024;08/05/2024;08/05/2024;5;29927 - 18229695;SC;Jeffrey;Kung;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;214.6328;13/01/2025
53461;SO53461;31/07/2024;08/08/2024;08/08/2024;5;29927 - 18229695;SC;Jeffrey;Kung;Amy Alberts;Áncash;Debito/Credito;1466.01;13/01/2025
